"par","mean_r2_diff","sd_r2_diff","n"
"mean_pdsi",5.85296414203906e-05,NA,1
"ocd",7.3694835915683e-05,NA,1
"lu_sum_41",0.000129130111680753,0.000173246671031312,2
"mean_srad",0.000135946452121172,4.18360459444713e-05,2
"lu_sum_15",0.000150345010740738,NA,1
"nitro",0.000165158069896254,0.000102454744656405,4
"clay",0.000201452315964745,9.91764154948366e-05,2
"fallow",0.000202241790403512,NA,1
"protec",0.000228722148015925,0.000104697358360099,5
"floodable_forests",0.000229225367248898,0.000102130437631414,5
"lu_sum_21",0.000231914800903898,NA,1
"cfvo",0.000233995240743579,7.19437224417723e-05,2
"ocs",0.000248304378393183,0.000210846459290849,4
"mean_soil",0.000297435248355171,0.000173580427740478,5
"mean_def",0.000309481790956623,0.00023369582457667,5
"last_lu",0.00035587312551207,0.000224377440590869,3
"indig",0.000423374405311705,0.000114292160339845,5
"cec",0.000444356096607618,0.000164460884613095,4
"sand",0.000629711423803525,0.000308923126366103,5
"phh2o",0.000866749445889492,0.000422329262136047,5
"topography",0.00115226690286108,0.000106455566874578,5
"dist",0.00440773993956536,0.000262587770778855,5
"num_fires",0.00484312706676251,0.000358376800386237,5
"mean_aet",0.0159406156516221,0.000650822407820616,5
"sur_cover",0.0185533700078084,0.000970175555395745,5
"age",0.363153826400306,0.00212206824429869,5
