datasource,biome,model,remove_land_use,remove_landscape,r2_mean,r2_sd,r2_final
aggregated_all_tilewise,1,XGBoost,False,False,0.3113642896205396,0.007422810395914249,0.3113643884309174
aggregated_5yr_tilewise,1,XGBoost,False,False,0.17167695222483897,0.007667765066711761,0.17167695222483892
aggregated_10yr_tilewise,1,XGBoost,False,False,0.2114232744309152,0.004755470405086382,0.2114232930000839
aggregated_15yr_tilewise,1,XGBoost,False,False,0.22283376475976394,0.00825133483812783,0.22283368480932852
aggregated_all_tilewise,4,XGBoost,False,False,0.26736689923742624,0.015156840826459584,0.2673668992374264
