biome,datasource,model,cv_r2,unseen_r2
1,mapbiomas,XGBoost,0.3647737063134331,0.3294200897216797
4,mapbiomas,XGBoost,0.3392663771250356,0.26605844497680664
both,mapbiomas,XGBoost,0.3269160915848377,0.24143022298812866
