datasource,biome,model,remove_land_use,remove_landscape,r2_mean,r2_sd,r2_final
aggregated_all_1985_forest,1,XGBoost,True,True,0.45507410258415354,0.019167739593557234,0.4550741025841535
aggregated_all_1985_forest,1,XGBoost,False,True,0.46603236147215926,0.02108965782805845,0.4660323614721592
aggregated_all_1985_forest,1,XGBoost,True,False,0.48757737659783046,0.01713068845486804,0.4875773765978304
aggregated_all_1985_forest,1,XGBoost,False,False,0.4872626286991967,0.020307845999995498,0.4872626286991968
aggregated_all_1985_forest,4,XGBoost,True,True,0.6315290773205183,0.011818872948578642,0.6315295611035254
aggregated_all_1985_forest,4,XGBoost,False,True,0.6443500619669912,0.014585634206870757,0.6443501767678275
aggregated_all_1985_forest,4,XGBoost,True,False,0.7082576980299234,0.013858828742645789,0.7082586788509629
aggregated_all_1985_forest,4,XGBoost,False,False,0.7062398290668928,0.013076180627072368,0.7062406614596852
aggregated_all_1985_forest,both,XGBoost,True,True,0.546408323011137,0.01208270857314752,0.5464079037842111
aggregated_all_1985_forest,both,XGBoost,False,True,0.5528008270606707,0.014345243373851242,0.5528005191675412
aggregated_all_1985_forest,both,XGBoost,True,False,0.5915859652415391,0.007783640949876735,0.5915857702765415
aggregated_all_1985_forest,both,XGBoost,False,False,0.589518580438282,0.01142057819953582,0.5895183830594557
