datasource,biome,model,land_use,landscape,keep_only_land_use_and_landscape,r2_mean,r2_sd,r2_final
aggregated_15yr,1,XGBoost,False,False,False,0.4819526768525052,0.013135650600673083,0.4819526768525052
aggregated_15yr,1,XGBoost,True,False,False,0.4840328395583159,0.00947759895520581,0.4840328395583159
