"par","mean_r2_diff","sd_r2_diff","n"
"cfvo",7.77234004047944e-05,NA,1
"lu_sum_20",0.000103269370153369,NA,1
"lu_sum_30",0.000172069693971544,NA,1
"soc",0.000224868341241913,NA,1
"indig",0.000233482067262258,NA,1
"protec",0.000333153359752814,NA,1
"last_lu",0.000496331269365324,0.000123648600314573,2
"floodable_forests",0.0006660397049848,0.000299828463436025,5
"lu_sum_10",0.00135192392028158,0.000424421897180229,5
"topography",0.00146482651069322,0.000272465435029486,5
"phh2o",0.00339619091633676,0.00202092191214672,5
"dist",0.00344454223532062,0.000955692205759898,5
"num_fires",0.00400954958966313,0.000860912968093342,5
"mean_aet",0.0158618079636162,0.00095943601319777,5
"sur_cover",0.0190945265367951,0.00140605965867864,5
"age",0.366826449151558,0.00472885609768738,5
