floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,,0.36031925678253174,267.0,4.0,238.0,1407.0,207.20408163265293,8311.8330078125,33.266666412353516,4.449999809265137,18322.43359375,22.549999237060547,4.699999809265137,4.5,45.36666488647461,19112.0,2530.0,0.76583331823349,26.887380599975586,205.31428571428572,1595.5771484375,2490.800048828125,0.8125476241111755,1107.2,1,508,1,0,0,31,3,
0,179.0,0.1288483440876007,267.0,4.0,238.0,6853.0,202.93877551020395,11391.6669921875,33.64444351196289,5.183333396911621,20741.833984375,23.77777671813965,4.866666793823242,4.699999809265137,44.49444580078125,22071.4453125,2460.1714285714284,0.774309515953064,26.946548461914062,208.68571428571428,1595.5452880859375,2482.6572265625,0.817380964756012,1107.3428571428572,1,508,1,0,0,21,19,86
0,140.0,0.0,267.0,4.0,238.0,6498.0,208.65306122448968,9409.3330078125,30.233333587646484,5.449999809265137,20043.93359375,24.899999618530273,5.0,4.883333206176758,48.61666488647461,21941.666015625,2466.885714285714,0.7950952649116516,26.99892807006836,209.4857142857143,1609.916259765625,2476.142822265625,0.8199762105941772,1120.9142857142858,1,508,1,0,0,41,11,59
0,210.0,0.3021664619445801,296.0,1.0,238.0,1314.0,212.85714285714275,8837.8330078125,28.100000381469727,4.849999904632568,16416.25,23.08333396911621,4.699999809265137,4.650000095367432,48.11666488647461,17931.0,2533.885714285714,0.7671428322792053,26.788333892822266,215.74285714285713,1619.8680419921875,2400.228515625,0.8371428847312927,1106.8857142857144,1,508,1,0,0,21,8,100
0,169.0,0.18814139068126678,267.0,4.0,238.0,5378.0,217.1632653061223,8105.16650390625,30.233333587646484,4.050000190734863,17051.6171875,22.399999618530273,4.900000095367432,4.550000190734863,49.96666717529297,17325.333984375,2554.9142857142856,0.7660475969314575,26.764286041259766,211.4857142857143,1610.4422607421875,2400.428466796875,0.8339999914169312,1104.6,1,508,1,0,0,31,2,63
0,97.0,0.2234891653060913,296.0,1.0,238.0,3137.0,219.1632653061223,9492.0,32.650001525878906,4.633333206176758,16908.150390625,22.633333206176758,4.900000095367432,4.683333396911621,45.733333587646484,20196.0,2521.4857142857145,0.7695714235305786,26.750951766967773,212.65714285714284,1608.8707275390625,2377.0,0.8186428546905518,1103.1142857142856,1,508,1,0,0,21,4,36
0,118.0,0.3192702531814575,296.0,1.0,238.0,1500.0,223.5714285714284,8106.888671875,32.43333435058594,4.338888645172119,16303.93359375,22.683332443237305,4.699999809265137,4.400000095367432,45.849998474121094,20035.0,2587.3142857142857,0.7655952572822571,26.71261978149414,213.11428571428573,1611.4593505859375,2352.39990234375,0.7869523763656616,1101.8857142857144,1,508,1,0,0,24,1,58
0,211.0,0.5553021430969238,296.0,1.0,238.0,1125.0,232.65306122448962,8257.0,34.03333282470703,5.016666889190674,14585.7998046875,22.83333396911621,4.800000190734863,4.599999904632568,42.93333435058594,16663.333984375,2543.542857142857,0.7600952386856079,26.651071548461914,219.34285714285716,1622.3482666015625,2324.199951171875,0.7803094983100891,1097.857142857143,1,508,1,0,0,42,7,80
0,,0.24173317849636078,296.0,1.0,238.0,1852.0,234.0612244897957,8084.83349609375,27.600000381469727,5.800000190734863,16347.43359375,23.233333587646484,4.699999809265137,4.733333110809326,48.266666412353516,23069.166015625,2593.2571428571428,0.7776904702186584,26.733095169067383,217.57142857142858,1622.5985107421875,2289.94287109375,0.7239285707473755,1104.0857142857142,1,508,1,0,0,31,4,
0,83.0,0.37514254450798035,296.0,1.0,238.0,1186.0,232.2653061224488,7488.0,28.116666793823242,5.349999904632568,15125.099609375,23.483333587646484,4.300000190734863,4.766666889190674,48.28333282470703,21882.0,2608.4,0.7809523940086365,26.726428985595703,217.34285714285716,1618.65380859375,2280.628662109375,0.7114999890327454,1102.4285714285713,3,508,1,0,0,41,3,31
0,259.0,0.10490307956933975,296.0,1.0,238.0,2673.0,228.99999999999983,9188.0,30.616666793823242,5.2833333015441895,18453.533203125,23.25,5.0,4.550000190734863,47.95000076293945,20120.5,2714.3142857142857,0.7889285683631897,26.791786193847656,227.94285714285715,1639.7930908203125,2212.971435546875,0.7047857046127319,1104.9714285714285,0,508,1,0,0,21,33,108
1,212.0,0.0,296.0,1.0,238.0,3674.0,225.69387755102022,8604.77734375,30.633333206176758,5.0,16105.171875,22.633333206176758,4.566666603088379,4.550000190734863,43.04999923706055,20319.388671875,2750.457142857119,0.7994920611381531,26.83543586730957,215.63809523808584,1613.83544921875,2217.17138671875,0.6251507997512817,1104.657142857156,0,508,1,0,0,21,35,89
0,294.0,0.14709235727787018,296.0,1.0,238.0,1449.0,215.9591836734692,7820.66650390625,28.28333282470703,9.149999618530273,16823.44921875,23.450000762939453,4.300000190734863,4.650000095367432,44.91666793823242,19988.166015625,2730.4,0.7823095321655273,26.599641799926758,222.25714285714287,1628.932861328125,2185.6572265625,0.6186190843582153,1097.2857142857142,0,508,1,0,0,42,29,117
0,275.0,0.3933865427970886,296.0,1.0,238.0,1347.0,213.1632653061223,8498.0,34.78333282470703,5.75,15414.2998046875,23.883333206176758,4.900000095367432,4.550000190734863,49.70000076293945,19099.0,2799.0,0.7764999866485596,26.48773765563965,221.0857142857143,1626.7838134765625,2162.82861328125,0.6026190519332886,1092.5428571428572,1,508,1,0,0,31,12,108
0,172.0,0.23261117935180664,296.0,1.0,238.0,4054.0,206.65306122448962,7854.83349609375,35.20000076293945,6.866666793823242,19153.283203125,24.633333206176758,4.699999809265137,4.900000095367432,43.400001525878906,22117.5,2816.657142857143,0.7734047770500183,26.40833282470703,231.71428571428572,1647.406494140625,2123.742919921875,0.5808095335960388,1090.6285714285714,3,508,1,0,0,21,11,67
0,103.0,0.02166476659476757,296.0,1.0,238.0,3951.0,199.38775510204061,6582.5,30.616666793823242,4.7833333015441895,16427.150390625,22.616666793823242,4.400000095367432,5.0,50.150001525878906,18418.0,2904.0285714285715,0.7949285507202148,26.62773895263672,226.28571428571428,1635.9210205078125,2107.28564453125,0.507190465927124,1097.0285714285715,0,508,1,0,0,21,2,40
0,57.0,0.5210946202278137,296.0,1.0,238.0,2264.0,193.24489795918353,7320.83349609375,35.31666564941406,6.0,17777.18359375,22.899999618530273,4.5,4.883333206176758,44.20000076293945,19390.666015625,2882.3714285714286,0.793666660785675,26.59404754638672,231.05714285714285,1641.8016357421875,2095.1142578125,0.5090000033378601,1093.9142857142858,2,508,1,0,0,21,2,24
0,157.0,0.21892815828323364,296.0,1.0,238.0,4961.0,187.87755102040805,12010.3330078125,30.71666717529297,8.183333396911621,16840.267578125,22.799999237060547,4.0,4.900000095367432,42.08333206176758,18997.166015625,2977.5714285714284,0.7861666679382324,26.54273796081543,226.54285714285714,1644.1114501953125,2067.685791015625,0.4248809516429901,1094.6857142857143,0,508,1,0,0,21,32,61
0,221.0,0.0,296.0,1.0,238.0,7757.0,185.9999999999999,7935.83349609375,29.850000381469727,10.166666984558105,16671.732421875,21.866666793823242,4.199999809265137,4.75,49.0,19150.0,2997.542857142857,0.7859047651290894,26.454286575317383,226.77142857142857,1641.3487548828125,2057.142822265625,0.38530951738357544,1090.942857142857,0,508,1,0,0,41,21,95
0,41.0,0.0,296.0,1.0,238.0,1671.0,188.83673469387745,7706.33349609375,33.75,6.7166666984558105,19215.25,21.96666717529297,4.300000190734863,5.0,46.599998474121094,20168.666015625,3239.457142857143,0.7762619256973267,26.226547241210938,224.31428571428572,1646.71435546875,2014.2572021484375,0.25569048523902893,1089.1714285714286,3,508,1,0,0,31,7,16
0,69.0,0.0,267.0,4.0,238.0,4687.0,190.89795918367335,7304.33349609375,29.316667556762695,5.4666666984558105,16724.416015625,23.21666717529297,4.199999809265137,5.0,47.25,19623.833984375,3388.0285714285715,0.7879999876022339,26.350595474243164,220.02857142857144,1640.483642578125,2017.199951171875,0.22221428155899048,1091.942857142857,0,508,1,0,0,21,5,26
0,232.0,0.09578107297420502,267.0,4.0,238.0,3549.0,194.5714285714284,8092.22216796875,35.483333587646484,10.433333396911621,17371.85546875,23.077777862548828,4.166666507720947,4.955555438995361,39.53333282470703,19616.0,3536.9142857142856,0.7846190333366394,26.2742862701416,222.4857142857143,1659.07275390625,1991.1142578125,0.1638571321964264,1096.1142857142856,0,508,1,0,0,31,25,90
0,218.0,0.48232612013816833,267.0,4.0,238.0,2005.0,198.89795918367335,11008.6669921875,38.849998474121094,6.050000190734863,20412.43359375,24.96666717529297,4.199999809265137,4.800000190734863,39.400001525878906,23138.833984375,3792.714285714286,0.7803571224212646,26.219524383544922,220.68571428571428,1663.2738037109375,1973.4571533203125,0.05547619238495827,1095.3714285714286,0,508,1,0,0,41,27,83
0,141.0,0.49030786752700806,267.0,4.0,238.0,1466.0,205.10204081632637,9444.7216796875,32.872222900390625,8.405555725097656,17145.150390625,23.0222225189209,3.9666666984558105,4.944444179534912,40.872222900390625,17735.27734375,3889.2571428571428,0.7849761843681335,26.303333282470703,216.88571428571427,1665.634033203125,1970.4000244140625,0.0287857037037611,1101.942857142857,1,508,1,0,0,31,27,60
0,254.0,0.0,267.0,4.0,238.0,2535.0,212.95918367346923,8698.5,35.733333587646484,5.066666603088379,18571.349609375,22.53333282470703,4.400000095367432,4.900000095367432,44.66666793823242,20844.666015625,4216.857142857143,0.788428544998169,26.332380294799805,205.42857142857142,1646.13427734375,1967.4000244140625,-0.11266667395830154,1101.142857142857,0,508,1,0,0,21,21,97
0,210.0,0.3033067286014557,267.0,4.0,238.0,2430.0,220.83673469387742,8547.5,33.233333587646484,7.599999904632568,17409.94921875,22.049999237060547,4.400000095367432,4.900000095367432,44.36666488647461,20020.333984375,4216.857142857143,0.788428544998169,26.332380294799805,205.42857142857142,1646.13427734375,1967.4000244140625,-0.11266667395830154,1101.142857142857,0,508,1,0,0,21,25,80
0,59.0,0.034207526594400406,267.0,4.0,238.0,2771.0,227.08163265306104,8703.6669921875,34.75,5.800000190734863,15808.599609375,20.983333587646484,3.9000000953674316,4.883333206176758,37.70000076293945,15639.6669921875,4330.457142857143,0.8210952281951904,26.644880294799805,217.88571428571427,1653.804931640625,1924.6571044921875,-0.2695237994194031,1101.7142857142858,0,508,1,0,1,41,10,29
0,279.0,0.04675028473138809,267.0,4.0,238.0,1449.0,233.8163265306121,8927.6669921875,38.5,6.016666889190674,15784.0,21.33333396911621,3.799999952316284,5.083333492279053,38.31666564941406,19783.666015625,4509.428571428572,0.8124762177467346,26.55023765563965,216.8,1667.4503173828125,1932.17138671875,-0.3301428556442261,1104.6857142857143,0,508,1,0,0,42,18,107
0,231.0,0.3705815374851227,267.0,4.0,238.0,1160.0,240.77551020408143,9798.4443359375,32.877777099609375,7.27222204208374,16742.27734375,20.9777774810791,4.066666603088379,4.699999809265137,40.77222442626953,18472.056640625,4572.085714285714,0.8093809485435486,26.516071319580078,216.17142857142858,1665.7686767578125,1932.17138671875,-0.36085712909698486,1102.6,1,508,1,0,0,31,25,90
0,177.0,0.473204106092453,267.0,4.0,238.0,1913.0,240.42857142857122,11340.22265625,36.03888702392578,6.900000095367432,16847.39453125,21.0,4.266666889190674,5.0,40.82222366333008,23472.056640625,4668.657142857143,0.8119999766349792,26.46368980407715,220.77142857142857,1669.329345703125,1914.199951171875,-0.47230952978134155,1098.4571428571428,0,508,1,1,0,42,25,74
0,206.0,0.530216634273529,267.0,4.0,238.0,5362.0,250.67346938775484,8571.5,40.83333206176758,7.599999904632568,18602.25,22.816667556762695,3.799999952316284,4.800000190734863,36.25,18935.5,4612.2,0.815666675567627,26.42571449279785,223.4,1666.2071533203125,1918.7427978515625,-0.5738332867622375,1093.4857142857143,3,508,1,1,0,21,3,90
0,120.0,0.6191562414169312,267.0,4.0,238.0,1143.0,249.7346938775508,8692.0,37.45000076293945,8.516666412353516,16899.400390625,21.83333396911621,4.099999904632568,4.75,40.68333435058594,18138.0,4574.8,0.8092857003211975,26.45571517944336,225.22857142857143,1681.32763671875,1927.857177734375,-0.5400238037109375,1098.2857142857142,4,508,1,1,0,21,5,60
0,251.0,0.7297605276107788,267.0,4.0,238.0,1542.0,245.69387755102017,10551.0,37.06666564941406,8.866666793823242,17844.333984375,21.200000762939453,4.199999809265137,4.900000095367432,38.900001525878906,18837.666015625,4515.342857142857,0.8178333640098572,26.535594940185547,228.22857142857143,1681.753173828125,1927.6856689453125,-0.620642900466919,1096.2285714285715,3,508,1,1,0,21,17,99
0,130.0,0.530216634273529,267.0,4.0,238.0,2511.0,245.69387755102017,13010.5,34.78333282470703,9.333333015441895,16929.69921875,21.383333206176758,3.5999999046325684,5.016666889190674,40.016666412353516,19961.5,4532.257142857143,0.8635237812995911,26.771785736083984,226.45714285714286,1659.6783447265625,1923.3428955078125,-0.7690237760543823,1094.9142857142858,3,508,1,1,0,21,3,50
0,154.0,0.8574686646461487,267.0,4.0,238.0,1121.0,235.16326530612227,10295.3330078125,38.53333282470703,7.5333333015441895,15992.93359375,20.41666603088379,3.799999952316284,4.800000190734863,30.450000762939453,18064.666015625,4383.314285714286,0.8407618999481201,26.63595199584961,242.31428571428572,1691.394287109375,1905.085693359375,-0.8167380690574646,1087.857142857143,0,508,1,1,0,21,4,59
0,151.0,0.19042189419269562,267.0,4.0,238.0,4482.0,228.06122448979576,8898.3330078125,30.78333282470703,8.183333396911621,15340.783203125,20.399999618530273,3.4000000953674316,4.900000095367432,38.86666488647461,16458.666015625,4514.6,0.8545952439308167,26.709285736083984,230.54285714285714,1658.8038330078125,1922.771484375,-0.9590476155281067,1082.5142857142857,4,508,1,1,0,21,1,68
0,157.0,0.202964648604393,267.0,4.0,238.0,7521.0,212.87755102040808,9215.5,30.366666793823242,8.800000190734863,15673.599609375,20.950000762939453,3.4000000953674316,4.900000095367432,38.13333511352539,17710.5,4577.857142857143,0.8476190567016602,26.691070556640625,228.14285714285714,1660.9439697265625,1940.5142822265625,-0.9275476336479187,1082.1714285714286,5,508,1,1,0,21,8,61
0,161.0,0.11858608573675156,267.0,4.0,238.0,14644.0,212.87755102040808,12180.0,31.950000762939453,7.383333206176758,15910.56640625,20.450000762939453,3.299999952316284,4.983333110809326,39.983333587646484,17076.333984375,4699.257142857143,0.8773809671401978,26.87928581237793,237.2,1672.4403076171875,1942.17138671875,-0.9968809485435486,1085.8857142857144,1,508,1,0,0,42,20,71
0,140.0,0.0,267.0,4.0,238.0,30241.0,175.46938775510193,11782.6669921875,41.13333511352539,7.883333206176758,15035.8662109375,21.066667556762695,2.9000000953674316,5.0,30.450000762939453,15734.1669921875,4911.371428571429,0.8924762010574341,26.92464256286621,240.4,1672.6741943359375,1922.4857177734375,-1.0754047632217407,1084.5142857142857,2,508,1,0,0,31,6,54
0,72.0,0.3192702531814575,267.0,4.0,238.0,32767.0,165.36734693877534,9772.6669921875,35.016666412353516,6.900000095367432,14283.2666015625,20.58333396911621,3.0,5.0,35.983333587646484,17466.0,5146.657142857143,0.9190000295639038,27.033809661865234,242.85714285714286,1675.409423828125,1917.6856689453125,-1.214809536933899,1085.7428571428572,1,508,1,0,0,21,18,31
0,154.0,0.07639680802822113,267.0,4.0,238.0,32767.0,152.22448979591826,9137.22265625,40.86666488647461,7.7833333015441895,13971.2001953125,19.899999618530273,3.0999999046325684,5.016666889190674,31.666667938232422,22301.111328125,5222.2,0.9368095397949219,27.13678550720215,245.0857142857143,1681.6474609375,1923.5999755859375,-1.295285701751709,1090.8285714285714,3,508,1,0,0,41,16,71
0,105.0,0.5404788851737976,267.0,4.0,238.0,32767.0,149.32653061224485,11172.0,32.38333511352539,9.449999809265137,15944.966796875,19.933332443237305,3.4000000953674316,5.0,35.516666412353516,16988.5,5180.085714285714,0.923285722732544,27.084047317504883,243.37142857142857,1697.4078369140625,1939.4857177734375,-1.2304999828338623,1097.2571428571428,1,508,1,0,0,41,10,56
0,49.0,0.11288483440876007,267.0,4.0,238.0,32767.0,125.71428571428568,12281.3330078125,33.58333206176758,9.733333587646484,14495.8330078125,19.950000762939453,3.200000047683716,5.0,32.13333511352539,15855.8330078125,5053.914285714286,0.9448094964027405,27.152023315429688,247.31428571428572,1702.631103515625,1939.914306640625,-1.3383570909500122,1099.057142857143,2,508,1,0,0,31,6,19
0,79.0,0.3797035217285156,267.0,4.0,238.0,32767.0,122.97959183673467,11361.3330078125,39.68333435058594,10.899999618530273,15945.9501953125,20.91666603088379,3.4000000953674316,5.0,34.11666488647461,19525.0,4997.685714285714,0.9423333406448364,27.153810501098633,248.9142857142857,1703.67138671875,1937.94287109375,-1.3125,1094.5142857142857,4,508,1,0,0,24,1,37
