floodable_forests,biomass,sur_cover,quarter_biomass,quarter,ecoreg_biomass,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,46.0,0.0011402508243918419,267.0,4.0,260.0,5337.0,165.2040816326529,12582.3330078125,22.78333282470703,3.4666666984558105,18121.099609375,23.549999237060547,6.199999809265137,5.0,53.58333206176758,25225.0,2536.8571428571427,0.9459047317504883,25.904523849487305,302.34285714285716,1575.679443359375,1901.2857666015625,-0.47066667675971985,996.1428571428571,3,518,1,0,0,31,2,18
0,,0.2554161846637726,267.0,4.0,260.0,5928.0,163.8571428571427,12139.0,24.46666717529297,6.266666889190674,19765.900390625,24.08333396911621,6.300000190734863,5.050000190734863,49.16666793823242,34787.5,2537.114285714286,0.8824523687362671,25.0863094329834,299.0571428571429,1581.940185546875,1898.4000244140625,-0.4865238070487976,982.2571428571429,3,518,1,0,0,21,2,
0,98.0,0.35461801290512085,267.0,4.0,260.0,9536.0,158.83673469387742,15642.6669921875,19.883333206176758,4.550000190734863,17651.416015625,22.133333206176758,6.599999904632568,5.083333492279053,53.016666412353516,28256.166015625,2480.9714285714285,0.9969524145126343,26.540119171142578,313.9142857142857,1572.4378662109375,1856.971435546875,-0.5507857203483582,1002.3428571428572,4,518,1,0,0,21,7,33
1,118.0,0.057012543082237244,267.0,4.0,260.0,10964.0,154.57142857142847,15629.0,20.316667556762695,3.7666666507720947,15742.849609375,22.0,6.199999809265137,4.800000190734863,51.849998474121094,20642.5,2471.9714285714285,1.0024762153625488,26.601070404052734,314.9142857142857,1574.371337890625,1852.142822265625,-0.5492143034934998,1003.5714285714286,4,518,1,0,0,41,10,42
0,70.0,0.03876852989196777,267.0,4.0,229.0,9917.0,149.59183673469374,13218.0,18.75,3.0,18387.966796875,23.866666793823242,5.800000190734863,5.0,51.63333511352539,24964.0,2475.6,0.9626904726028442,26.2261905670166,316.2,1585.503173828125,1842.771484375,-0.5449761748313904,996.6285714285714,6,481,1,0,0,11,15,28
0,151.0,0.034207526594400406,267.0,4.0,229.0,11068.0,145.8163265306122,10387.6669921875,21.53333282470703,2.4833333492279053,16661.732421875,25.266666412353516,6.099999904632568,4.800000190734863,54.63333511352539,24576.333984375,2456.2285714285713,0.9824047684669495,26.478214263916016,314.9142857142857,1566.53662109375,1840.3143310546875,-0.5606428384780884,994.3142857142857,4,518,1,0,0,21,12,50
0,127.0,0.6944127678871155,267.0,4.0,229.0,3395.0,141.81632653061217,12422.3330078125,20.78333282470703,6.25,19425.333984375,27.71666717529297,6.800000190734863,4.75,47.38333511352539,33240.33203125,2421.542857142857,0.9564999938011169,26.347976684570312,328.51428571428573,1611.7703857421875,1802.3143310546875,-0.5128333568572998,998.6571428571428,2,481,1,0,0,21,19,52
0,49.0,0.05929304286837578,267.0,4.0,260.0,6798.0,139.48979591836726,11358.6669921875,17.450000762939453,2.700000047683716,15054.4169921875,22.016666412353516,5.400000095367432,4.883333206176758,51.33333206176758,24856.5,2429.2,0.944428563117981,26.130237579345703,323.25714285714287,1600.701171875,1810.5714111328125,-0.5572618842124939,993.0857142857143,5,518,1,0,0,34,7,18
0,125.0,0.03648802638053894,267.0,4.0,260.0,3542.0,136.91836734693865,10577.1669921875,19.816667556762695,7.316666603088379,17785.017578125,23.950000762939453,6.300000190734863,4.900000095367432,54.29999923706055,25581.166015625,2425.6285714285714,0.9427618980407715,26.12285804748535,323.42857142857144,1599.732177734375,1807.142822265625,-0.5640951991081238,991.4857142857143,9,518,1,0,0,31,2,51
0,73.0,0.47092360258102417,267.0,4.0,229.0,1318.0,136.1041666666665,10089.6669921875,20.16666603088379,5.616666793823242,16496.533203125,26.33333396911621,6.0,4.7833333015441895,50.29999923706055,24012.833984375,2431.1428571428573,0.930142879486084,26.27559471130371,330.8285714285714,1626.8216552734375,1772.7142333984375,-0.5896905064582825,996.7142857142857,4,518,1,0,0,34,12,26
