floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,97.0,0.7742303013801575,1432.0,249.2799999999999,17142.833984375,38.46666717529297,6.833333492279053,25066.06640625,31.616666793823242,6.099999904632568,4.900000095367432,33.45000076293945,33133.66796875,993.4857142857143,0.5697619318962097,21.823095321655273,133.54285714285714,1783.8328857421875,1956.5142822265625,0.7098333239555359,1136.9142857142858,0,464,1,1,0,21,21,53
0,244.0,0.8278221487998962,1097.0,252.5333333333332,15682.5,35.599998474121094,9.433333396911621,22409.267578125,30.700000762939453,6.0,4.800000190734863,38.0,36124.66796875,968.7428571428571,0.5852142572402954,22.191308975219727,129.85714285714286,1737.7679443359375,1998.914306640625,0.6213809251785278,1127.8,0,464,1,1,0,31,21,138
0,45.0,0.8939566612243652,1501.0,249.2799999999999,17778.0,38.11666488647461,6.949999809265137,26129.19921875,30.566667556762695,6.900000095367432,5.0,34.266666412353516,30248.0,992.7142857142857,0.5652381181716919,21.690475463867188,137.71428571428572,1768.5982666015625,1988.085693359375,0.70676189661026,1121.1714285714286,3,464,1,1,0,31,9,23
0,187.0,0.9657924771308899,1042.0,250.7567567567566,18179.0,37.04999923706055,7.9666666984558105,28195.166015625,31.383333206176758,6.099999904632568,4.816666603088379,34.78333282470703,41062.66796875,972.0857142857143,0.5754523873329163,21.878095626831055,134.54285714285714,1753.3612060546875,1968.17138671875,0.6612619161605835,1121.4285714285713,1,464,1,1,0,41,22,106
0,12.0,0.7776510715484619,2924.0,253.32499999999976,15774.5,37.349998474121094,8.850000381469727,23937.982421875,27.350000381469727,5.5,5.050000190734863,35.33333206176758,24952.333984375,908.5428571428571,0.6047142744064331,22.482738494873047,161.28571428571428,1723.921630859375,2105.485595703125,0.6729999780654907,1095.2571428571428,4,464,1,1,0,41,2,7
0,75.0,0.7480045557022095,1267.0,255.15151515151493,15357.5,35.18333435058594,7.316666603088379,23102.482421875,30.91666603088379,6.599999904632568,4.900000095367432,36.150001525878906,27834.0,939.8285714285714,0.5715476274490356,21.862857818603516,119.48571428571428,1688.9547119140625,2203.685791015625,0.6197142601013184,1102.7714285714285,0,464,1,1,0,41,13,42
0,183.828804540029,0.6841505169868469,6852.0,248.3409090909089,16652.333984375,35.36666488647461,7.266666889190674,21173.30078125,28.75,5.800000190734863,5.199999809265137,28.58333396911621,31400.833984375,884.6571428571428,0.6931904554367065,23.212261199951172,171.11428571428573,1758.7559814453125,1945.085693359375,0.787761926651001,1133.3714285714286,0,570,1,1,0,11,4,82
1,216.0,0.3181299865245819,2299.0,251.78723404255294,15030.1669921875,35.38333511352539,6.333333492279053,20527.94921875,28.78333282470703,5.900000095367432,4.866666793823242,29.233333587646484,25374.0,984.0571428571428,0.6329523921012878,22.812381744384766,133.28571428571428,1779.214599609375,2088.71435546875,0.694190502166748,1160.7428571428572,4,464,1,1,0,31,21,103
0,93.0,0.6522234678268433,3372.0,251.53191489361674,16038.3330078125,37.06666564941406,8.166666984558105,25018.333984375,34.20000076293945,6.400000095367432,5.0,30.850000381469727,40946.0,904.7714285714286,0.5747857093811035,21.60523796081543,136.65714285714284,1728.9332275390625,2140.685791015625,0.6532618999481201,1094.9714285714285,0,464,1,1,1,31,28,49
0,263.0,0.7685290575027466,1686.0,251.67441860465092,14298.0,34.16666793823242,4.833333492279053,25446.6171875,33.11666488647461,7.599999904632568,4.9666666984558105,33.91666793823242,28819.833984375,880.3428571428572,0.5392857193946838,21.038095474243164,115.37142857142857,1696.24853515625,2198.28564453125,0.5724285840988159,1073.5428571428572,0,464,1,1,1,31,9,122
