floodable_forests,biomass,sur_cover,dist,nearest_mature,cec,clay,cfvo,nitro,ocd,ocs,phh2o,sand,soc,mean_soil,mean_vpd,mean_temp,mean_def,mean_srad,mean_pr,mean_pdsi,mean_aet,num_fires,ecoreg,biome,indig,protec,topography,age,sd
0,124.0,0.4857468605041504,2433.0,220.44897959183663,12690.3330078125,31.600000381469727,7.183333396911621,15701.216796875,23.700000762939453,5.099999904632568,3.9833333492279053,22.950000762939453,26158.5,920.7428571428571,0.6010000109672546,26.75154685974121,35.42857142857143,1429.8037109375,2508.085693359375,-0.8450238108634949,1090.857142857143,0,473,1,0,1,21,12,43
1,260.0,0.0,4535.0,218.99999999999986,15558.6669921875,35.21666717529297,3.4000000953674316,19003.599609375,22.883333206176758,5.199999809265137,4.150000095367432,16.649999618530273,90300.6640625,935.6285714285714,0.606166660785675,26.79273796081543,34.68571428571428,1428.2821044921875,2507.8857421875,-0.8335475921630859,1092.2,0,473,1,0,1,34,35,88
1,143.0,0.5598631501197815,1088.0,219.04081632653043,14694.6669921875,29.483333587646484,2.6666667461395264,14576.43359375,22.649999618530273,5.0,4.0333333015441895,22.21666717529297,60668.66796875,958.3428571428572,0.6077619194984436,26.765714645385742,32.31428571428572,1431.9029541015625,2524.8857421875,-0.7871666550636292,1096.2,0,473,1,0,1,21,27,65
0,141.0,0.6408209800720215,1190.0,223.06122448979573,13036.6669921875,39.75,2.9666666984558105,15891.3330078125,23.0,5.099999904632568,4.083333492279053,22.316667556762695,22677.0,1192.9142857142858,0.6607381105422974,26.949047088623047,43.628571428571426,1453.994384765625,2400.0,-0.6259762048721313,1109.6,1,473,1,0,1,21,3,65
1,132.0,0.0,5022.0,229.48979591836715,14838.6669921875,37.66666793823242,4.099999904632568,16079.18359375,24.549999237060547,5.5,4.383333206176758,23.549999237060547,44646.16796875,1324.5142857142857,0.6902381181716919,27.121191024780273,47.34285714285714,1479.791748046875,2416.45703125,-0.5116190910339355,1129.2857142857142,0,473,1,0,1,24,21,48
1,181.0,0.0,3529.0,235.40816326530586,15088.8330078125,36.849998474121094,3.450000047683716,17674.30078125,25.03333282470703,5.699999809265137,4.300000190734863,23.46666717529297,46867.66796875,1357.7142857142858,0.6871428489685059,27.080595016479492,45.65714285714286,1468.180419921875,2438.45703125,-0.48578572273254395,1122.5142857142857,0,473,1,0,1,21,28,65
1,302.0,0.4458380937576294,1193.0,269.0204081632652,14327.0,39.63333511352539,8.566666603088379,17342.599609375,23.41666603088379,4.699999809265137,4.150000095367432,28.03333282470703,28973.0,1663.5714285714287,0.7055237889289856,26.989761352539062,46.82857142857143,1451.10693359375,2467.228515625,-0.2303571254014969,1113.0857142857142,0,511,1,1,0,42,21,144
1,212.0,0.3432154953479767,2238.0,271.938775510204,12837.5,39.849998474121094,2.9000000953674316,15126.9833984375,22.483333587646484,4.300000190734863,4.199999809265137,24.58333396911621,20728.333984375,1861.3142857142857,0.7278571128845215,27.10011863708496,50.371428571428574,1455.3154296875,2446.914306640625,-0.07247620075941086,1119.0,0,511,1,1,0,42,21,102
1,303.6876937660281,0.17217788100242615,3858.0,271.8367346938774,14682.4443359375,42.10555648803711,2.8499999046325684,15169.439453125,23.144445419311523,4.833333492279053,4.116666793823242,25.372220993041992,25086.5546875,1888.2571428571428,0.7313571572303772,27.108570098876953,50.457142857142856,1452.1624755859375,2449.142822265625,-0.06033334508538246,1118.057142857143,0,511,1,1,0,21,2,147
0,259.0,0.758266806602478,1602.0,273.0816326530611,13301.3330078125,44.08333206176758,4.5333333015441895,17585.93359375,22.883333206176758,4.699999809265137,4.099999904632568,36.75,25093.333984375,2112.8285714285716,0.7368571162223816,26.947856903076172,50.628571428571426,1458.4998779296875,2437.94287109375,0.022738095372915268,1120.2857142857142,0,511,1,0,0,21,1,126
0,141.0,0.05359179154038429,2015.0,280.8367346938774,11756.0,35.983333587646484,2.9833333492279053,20090.30078125,24.450000762939453,4.300000190734863,4.383333206176758,35.61666488647461,29916.0,2224.0285714285715,0.7478571534156799,27.030357360839844,51.77142857142857,1456.6522216796875,2440.028564453125,0.06949999928474426,1121.2285714285715,0,511,1,0,0,41,35,60
0,,0.31356897950172424,2925.0,281.9999999999999,11583.8330078125,43.349998474121094,2.6666667461395264,16230.349609375,21.450000762939453,4.300000190734863,4.300000190734863,35.96666717529297,22604.666015625,2225.342857142857,0.7605714201927185,27.110713958740234,51.97142857142857,1458.7451171875,2437.085693359375,0.0589761845767498,1125.857142857143,0,511,1,0,1,31,4,
