age,agbd,system:index
4,120.0,1
1,54.0,2
6,82.0,6
2,126.33333587646484,7
23,127.0,8
21,82.0,10
13,136.6666717529297,14
4,126.0,22
1,127.0,23
2,129.0,24
8,112.0,27
30,102.66666412353516,28
2,83.55555725097656,34
1,85.0,35
17,49.0,39
30,115.0,40
21,114.0,41
1,135.0,45
18,141.0,46
1,70.0,50
34,76.33333587646484,57
11,101.0,59
4,64.0,60
2,97.0,61
18,99.0,64
7,140.0,74
22,114.0,75
26,117.0,76
1,56.0,77
15,67.0,82
17,130.0,84
5,69.0,86
34,77.66666412353516,90
11,144.0,96
5,86.33333587646484,102
1,119.66666412353516,104
15,69.0,106
5,81.0,112
11,109.0,115
4,140.0,119
4,134.0,121
1,101.0,123
10,67.0,125
10,114.0,126
34,114.0,127
17,32.66666793823242,128
33,124.0,131
4,135.0,136
5,120.0,149
2,129.0,151
10,110.0,161
2,57.0,166
25,140.0,167
7,48.0,170
16,108.0,174
8,70.66666412353516,180
18,115.0,182
1,135.0,185
16,136.3333282470703,187
15,112.22222137451172,192
2,83.33333587646484,199
9,100.66666412353516,200
1,62.0,202
2,39.0,204
30,120.0,207
16,97.0,214
34,87.0,217
6,81.0,219
1,116.66666412353516,223
34,138.0,227
1,138.0,234
1,122.0,236
23,90.0,237
7,131.0,244
1,123.66666412353516,248
30,111.66666412353516,255
1,75.0,258
17,125.0,265
15,127.66666412353516,266
34,145.3333282470703,275
16,137.6666717529297,276
33,105.0,279
8,64.0,280
11,74.0,284
1,90.0,285
16,99.0,295
1,82.0,299
2,125.0,304
1,152.0,307
27,138.6666717529297,308
21,106.0,309
13,85.0,310
30,76.33333587646484,316
16,132.6666717529297,320
21,70.0,322
18,64.0,324
3,94.0,326
8,135.0,327
16,139.0,328
1,141.0,331
25,137.0,335
2,144.0,341
2,148.3333282470703,343
17,100.66666412353516,345
16,95.0,346
32,142.0,349
12,94.0,350
34,147.0,351
5,92.0,352
1,127.0,360
15,75.0,365
34,145.0,373
18,144.0,388
1,126.0,396
15,108.0,399
14,127.11111450195312,402
1,147.0,404
7,103.0,409
34,144.3333282470703,413
2,114.0,417
6,52.0,423
11,51.0,426
10,82.0,431
7,139.6666717529297,447
33,140.0,452
5,133.6666717529297,455
16,89.0,457
26,117.66666412353516,462
1,131.6666717529297,468
14,138.6666717529297,470
27,126.0,473
1,144.0,474
17,126.0,475
2,43.66666793823242,478
25,146.0,479
11,87.33333587646484,481
22,111.0,484
1,125.0,486
5,75.0,489
1,139.0,506
11,126.0,507
30,135.0,513
8,103.0,516
34,79.0,520
4,112.0,522
26,137.6666717529297,527
11,78.0,528
2,142.3333282470703,529
18,95.0,530
15,62.0,535
14,130.6666717529297,539
17,101.0,541
18,137.6666717529297,547
3,137.0,549
1,94.0,553
30,89.0,554
18,134.0,566
17,135.6666717529297,567
18,125.0,570
1,74.33333587646484,578
1,138.0,579
1,131.3333282470703,586
7,126.66666412353516,591
18,88.0,593
4,147.0,594
23,81.0,597
4,117.0,602
4,70.0,605
17,105.0,607
23,86.88888549804688,608
4,111.66666412353516,610
1,56.0,616
1,120.0,620
5,120.0,621
6,125.0,624
11,95.0,627
1,143.0,629
18,101.0,631
16,107.0,632
26,143.0,636
26,118.66666412353516,638
26,99.33333587646484,643
18,137.6666717529297,644
6,81.0,645
18,92.0,655
2,102.0,661
25,127.0,670
2,101.0,679
11,93.0,680
23,109.0,682
8,92.0,684
32,68.0,687
24,64.0,692
13,138.0,695
10,116.66666412353516,697
23,126.0,700
3,95.66666412353516,705
7,63.0,706
11,106.33333587646484,707
1,128.0,709
22,90.0,711
30,123.66666412353516,712
1,13.0,715
18,106.0,719
34,151.3333282470703,724
16,128.0,726
17,134.0,729
1,93.33333587646484,730
26,138.3333282470703,732
16,99.0,733
34,109.66666412353516,736
1,138.0,737
1,81.0,739
1,111.0,740
12,138.0,746
18,95.0,752
1,140.0,753
2,128.0,757
7,128.0,760
1,100.0,763
1,128.0,765
7,83.0,769
2,96.66666412353516,776
6,123.0,777
6,123.0,787
10,122.0,795
6,69.33333587646484,802
30,89.0,803
30,118.0,804
1,146.0,808
16,97.0,810
23,136.0,817
34,101.0,819
18,144.0,821
1,135.0,832
33,122.0,838
1,102.0,840
34,85.33333587646484,841
1,113.0,843
27,118.0,849
18,95.0,852
1,83.0,856
17,60.0,873
1,88.22222137451172,874
13,101.0,879
4,135.0,884
17,64.0,885
2,113.33333587646484,886
16,105.0,889
34,115.0,895
9,70.0,896
4,115.0,898
5,66.0,900
34,107.0,902
2,127.0,906
11,114.0,907
10,111.0,909
2,101.33333587646484,913
26,42.66666793823242,921
2,108.0,930
27,126.33333587646484,933
1,68.0,938
1,96.0,948
34,105.66666412353516,951
1,144.0,952
5,68.0,963
26,128.3333282470703,964
2,144.0,978
24,124.0,982
34,152.0,985
2,125.0,987
22,146.0,993
17,121.66666412353516,995
7,87.0,998
4,129.0,1004
34,101.0,1023
1,68.0,1024
1,40.0,1031
32,123.0,1033
1,113.0,1035
2,81.0,1040
2,121.33333587646484,1041
1,115.33333587646484,1043
9,60.0,1044
1,67.0,1048
30,137.0,1051
4,134.0,1054
1,138.0,1057
6,124.0,1058
34,142.0,1059
17,122.0,1069
1,91.0,1070
3,54.0,1073
1,114.33333587646484,1079
18,121.0,1081
18,108.66666412353516,1082
24,131.0,1085
23,131.6666717529297,1090
5,90.0,1092
2,126.33333587646484,1094
27,114.0,1111
26,100.0,1112
17,72.0,1113
34,102.0,1114
10,105.0,1119
7,99.0,1122
25,148.0,1123
3,68.33333587646484,1131
32,113.0,1132
21,84.0,1138
1,107.66666412353516,1139
18,64.0,1140
1,132.0,1141
21,122.66666412353516,1144
4,101.0,1148
1,123.0,1150
7,100.0,1152
15,143.0,1153
17,135.0,1154
15,110.66666412353516,1161
18,122.0,1167
22,84.0,1168
6,125.0,1173
1,136.0,1176
6,92.0,1177
11,102.22222137451172,1178
1,89.0,1183
4,41.0,1184
1,131.0,1187
33,102.0,1189
4,84.0,1193
17,130.0,1194
5,105.0,1203
13,109.0,1206
2,69.0,1207
13,134.0,1208
7,91.0,1215
16,95.0,1216
22,134.22222900390625,1222
1,136.0,1223
27,134.6666717529297,1224
1,128.0,1232
22,91.0,1234
9,122.66666412353516,1236
3,134.0,1237
1,143.0,1239
26,57.0,1240
1,103.0,1241
26,82.0,1251
1,110.0,1252
27,107.0,1262
33,109.0,1267
2,129.0,1269
7,89.0,1271
18,84.0,1273
16,136.3333282470703,1275
1,130.0,1281
16,72.33333587646484,1282
1,134.0,1283
11,127.0,1291
1,135.0,1292
34,116.33333587646484,1294
32,127.0,1298
14,133.0,1300
