"data_name","data_pars","basic_pars","model_type","rsq","rsq_sd","nearest_mature","age","k0","B0_exp","B0","theta","cwd","mean_prec","mean_si","fallow","indig","lulc_sum_15","lulc_sum_20","lulc_sum_21","lulc_sum_35","lulc_sum_39","lulc_sum_40","lulc_sum_41","lulc_sum_46","lulc_sum_48","lulc_sum_9","mature_forest_years","num_fires_after_regrowth","num_fires_before_regrowth","protec","sur_cover","ts_fire_after_regrowth","ts_fire_before_regrowth","last_LU_9","last_LU_15","last_LU_20","last_LU_21","last_LU_35","last_LU_39","last_LU_41","last_LU_46","last_LU_48","ecoreg_439","ecoreg_440","ecoreg_441","ecoreg_442","ecoreg_443","ecoreg_464","ecoreg_465","ecoreg_466","ecoreg_467","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_484","ecoreg_485","ecoreg_491","ecoreg_492","ecoreg_496","ecoreg_497","ecoreg_500","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_525","ecoreg_529","ecoreg_540","ecoreg_566","ecoreg_567","ecoreg_570","ecoreg_574","ecoreg_584","ecoreg_611","ecoreg_616","soil_2","soil_3","soil_5","soil_7","soil_8","soil_9","soil_10","soil_11","soil_12","soil_13","soil_14","soil_15","soil_16","soil_17","soil_18","soil_19","soil_22","soil_23","soil_24","soil_25","soil_26","soil_28","soil_29","soil_31","soil_32","soil_33","prec","si"
"10yr","meanclim","age_B0","optim",0.1944323461733,0.0124982401263102,NA,0.384884748408101,NA,NA,80.6421010490177,0.351306587633009,0.114486065561486,-0.0976393491507242,0.0477953316128283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10yr","meanclim",NA,"lm",0.206241905307308,0.00725624859723679,0.493071370770938,44.3295416631908,NA,NA,NA,NA,85.7211580311428,-78.6472451927634,29.2457216636883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15yr","meanclim","age_B0","optim",0.199572280714993,0.0135430187506618,NA,0.523872352150497,NA,NA,70.2562564664428,0.514351418568552,0.434850500410966,-0.326287905316868,0.132819977586948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15yr","meanclim",NA,"lm",0.207394854746729,0.0197951506374563,0.496666490418267,44.1302960501023,NA,NA,NA,NA,86.260031523446,-84.3330874600222,26.5169479503977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","meanclim","age_B0","optim",0.204285133346718,0.0218712350272245,NA,0.703471878204268,NA,NA,75.1602168384285,0.378862001010641,0.121646534006677,-0.0986507360779722,0.0443692490694316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all","meanclim",NA,"lm",0.207440942260162,0.0108464330652929,0.511769728909241,54.456812575724,NA,NA,NA,NA,72.4989411838323,-67.0742376880597,30.3240869730055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5yr","LU","age_B0","optim",0.228649805215224,0.013203679058921,NA,0.80984364393451,NA,NA,91.3808884657714,0.8584400955026,NA,NA,NA,2.29984734710792,-0.0435605546921224,-6.83103473682386e-05,-2.14624764898651,-0.060898454422307,0.226047696773779,0.748236218270129,0.481891387394098,-1.25901823058473,NA,NA,0.323340128038333,5.25540444519872e-05,-0.0016299850018433,NA,0.0050346801928108,0.717522048424431,-0.433046404823855,NA,-0.265073604273779,0.000175228196978719,4.59733632065983,-0.724805543909741,1.00514713116615,1.27674781209988,0.970414117395324,9.32990412195264,-0.924868924757399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5yr","LU",NA,"lm",0.24544572960806,0.0142847438521881,0.482182905796275,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.42609451227191,-21.5553772449294,NA,NA,7.96856984850719,NA,NA,-65.0534403678696,NA,NA,72.7123893493259,-55.8280148322482,-113.050847696336,NA,-0.588984757673444,40.0452191241149,0.450682316209915,NA,-124.437532088404,-40.832277637249,NA,NA,-15.6976731100957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10yr","LU","age_B0","optim",0.220716419413463,0.00817866826275077,NA,0.924474038680234,NA,NA,85.1066134593365,0.941150370185361,NA,NA,NA,-0.00199817258368268,NA,0.118321176099366,1.42909307165151,1.12518430461193,-0.0398859798737922,0.858014496498229,0.616122005066636,-0.13909020314228,0.392067588152357,NA,1.13388048815885,0.0341619765209604,-0.463860678230971,-0.105739265579712,-0.000259455443250339,0.662391297145551,-0.409637892986201,0.052271900701368,-0.333155703931618,6.06440205426915e-06,2.44645059948364,2.52227046515223,0.490097676652999,2.5795599749507,0.0676446931610902,2.92265048442088,2.94863179798742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10yr","LU",NA,"lm",0.226845467510102,0.019148758585837,0.463722285000088,NA,NA,NA,NA,NA,NA,NA,NA,-2.61473763415038,NA,-12.6722766774346,NA,NA,-56.9532875077402,NA,NA,-65.2636727268945,NA,NA,84.4527025380932,-57.277984220815,-99.1338019229803,-42.4524500057929,-1.97763893868849,38.6986128183629,-4.02727536169291,11.5621268169569,-77.5643530697086,-18.5279556071856,NA,NA,29.0918789936576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
