"","biome","data_name","data_pars","basic_pars","model_type","rsq","rsq_sd","nearest_mature","age","k0","B0_exp","B0","theta","cwd","mean_prec","mean_si","fallow","indig","lulc_sum_15","lulc_sum_20","lulc_sum_21","lulc_sum_35","lulc_sum_39","lulc_sum_40","lulc_sum_41","lulc_sum_46","lulc_sum_48","lulc_sum_9","mature_forest_years","num_fires_after_regrowth","num_fires_before_regrowth","protec","sur_cover","ts_fire_after_regrowth","ts_fire_before_regrowth","last_LU_9","last_LU_15","last_LU_20","last_LU_21","last_LU_35","last_LU_39","last_LU_41","last_LU_46","last_LU_48","ecoreg_439","ecoreg_440","ecoreg_441","ecoreg_442","ecoreg_443","ecoreg_464","ecoreg_465","ecoreg_466","ecoreg_467","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_484","ecoreg_485","ecoreg_491","ecoreg_492","ecoreg_496","ecoreg_497","ecoreg_500","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_525","ecoreg_529","ecoreg_540","ecoreg_566","ecoreg_567","ecoreg_570","ecoreg_574","ecoreg_584","ecoreg_611","ecoreg_616","soil_2","soil_3","soil_5","soil_7","soil_8","soil_9","soil_10","soil_11","soil_12","soil_13","soil_14","soil_15","soil_16","soil_17","soil_18","soil_19","soil_22","soil_23","soil_24","soil_25","soil_26","soil_28","soil_29","soil_31","soil_32","soil_33","prec","si"
"Estimate...11","amaz","15yr","LU",NA,"lm",0.224997531616609,0.0169420306319525,0.449552396767148,NA,NA,NA,NA,NA,NA,NA,NA,-4.14102831120872,-2.78950631909697,-34.7228434808789,NA,NA,77.1483944030733,NA,NA,-74.341429634703,NA,NA,-179.638332850337,-79.7338643815231,-100.452663255546,-55.102504012567,-3.68083235335758,41.5781938438408,-8.49343679476721,11.0715567218976,70.0058904043586,-2.33151237341839,NA,NA,-54.969179314384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estimate...12","amaz","all","LU",NA,"lm",0.231174082748654,0.00679119742969986,0.465069146377457,NA,NA,NA,NA,NA,NA,NA,NA,-2.45961766078472,1.45796229195119,-35.3565295965602,NA,NA,-29.6141122894778,-450.776365163587,NA,-125.471484309356,NA,NA,-49.6755985670196,-52.2222008424026,-103.142093575498,-35.1198807374361,-0.334845549491031,40.3498203417701,5.62256776172138,9.3299475685853,-2.17189419680421,12.5277527728593,NA,NA,24.3677540454818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estimate...13","amaz","5yr","LU_soil_ecor",NA,"lm",0.277803254527518,0.018062099092105,0.351453254820396,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139781428837006,-23.946063242667,NA,-178.401766847116,-1.27700381192642,NA,NA,-73.1304711402813,NA,NA,397.553987656106,-51.4681550901875,-110.673393992318,-32.7479510326047,-1.59331130552742,41.6631290725503,1.99988700806638,5.78204390071845,-376.43818244273,-52.07962831199,NA,NA,-16.7377865899788,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4823339567447,-15.9965312214844,16.3356752360488,3.08820294248526,90.4791671580649,60.3571813664165,39.0629285803205,38.9515776513253,5.70463324486434,25.5985074376578,44.798330832275,37.2349741715769,16.2553745296397,NA,NA,34.4530159294357,39.0542125317183,NA,74.8817609178114,52.6196809085669,29.0142396290415,18.6613037267477,39.2512506374534,NA,23.1796308445655,41.7196371922392,NA,25.9969981371273,6.46686335769896,NA,22.4188599536152,29.0356817450805,NA,-0.867476964914024,-1.82030442550786,NA,6.56138210151621,13.9299618454124,16.1149845867518,-0.667021729929849,NA,NA,NA,10.3869882562648,NA,-6.93385397867184,NA,NA,22.8010130560886,1.67860968802805,-20.9007031380371,NA,20.5194617946283,NA,46.7997934076633,NA,17.4268652220571,NA,NA,NA,NA
"Estimate...14","amaz","10yr","LU_soil_ecor",NA,"lm",0.260936766246229,0.0225890962805765,0.336386275297405,NA,NA,NA,NA,NA,NA,NA,NA,-2.59391965566974,-0.0187330142062788,-13.491982682647,NA,NA,34.4855558029554,NA,NA,-49.8169212980126,NA,NA,87.0228256974916,-58.3301864280635,-96.5156370484406,-36.13999227774,-3.28625565754092,39.9931207032279,-0.621803291576172,10.1156821636187,-82.0904360263674,-16.7475989179114,NA,NA,-44.4721095901516,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.265940780006,121.085200262503,104.379006557432,95.1688841762898,173.30100840012,147.202425070988,106.748175269376,130.142958670015,84.9772344806771,111.977428757604,127.889675344403,127.663371627251,97.4888975572408,NA,NA,124.096671069446,136.728873448988,NA,173.376817681523,134.796076054515,116.749091706334,98.908793021957,126.051955805762,NA,113.205792895602,125.172804479281,NA,111.554991406346,97.5408783347106,NA,107.706554630415,123.454899239841,NA,-19.8052996288789,-5.01844043431481,NA,1.75206804558295,9.74405538994031,12.584666654767,-7.44711118276564,NA,NA,NA,1.32887513481045,NA,1.20288186505685,NA,NA,19.8392032909336,-12.3505174096049,-29.8550639864155,NA,14.9524055940771,NA,38.8947634885798,NA,11.0088529437219,NA,NA,NA,NA
"Estimate...15","amaz","15yr","LU_soil_ecor",NA,"lm",0.266838119521853,0.0186165924033664,0.34257100485016,NA,NA,NA,NA,NA,NA,NA,NA,-3.91387701108807,-1.02895644258718,-38.8689696971934,NA,NA,-11.4760693270053,NA,NA,-63.9790684393578,NA,NA,-88.9574856981152,-82.5268527727826,-89.0878827519342,-51.7305141946949,-4.11875198444492,42.2311166809723,-9.50046105094069,6.30836733565664,3.26242420713865,-4.60072607034907,NA,NA,-11.6703233002155,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.588556294616,-75.6144646055337,-2.81814169109375,-35.71230143996,67.1304295611901,35.0176827372209,-10.8395092791693,17.1203160280762,-11.1788928197347,-3.24237752981754,5.83336628348372,9.07037874515368,-2.24498009006446,NA,NA,4.47994355414119,11.3445370154191,NA,69.701613234294,18.4405335983297,2.39359569893582,-15.9745967145106,6.94810685934365,NA,-5.24560872753643,11.1727295004135,NA,-5.02197197760787,-18.6204115996104,NA,1.23133326459174,NA,NA,-11.8214110392925,-6.13012313389374,NA,-5.98491830310102,-0.322349392961452,3.24454254232324,-15.3128590577118,NA,NA,NA,-4.47547685134051,NA,-4.50591571959363,NA,NA,13.2078499783966,-25.3168294910217,-36.6630569500282,NA,6.74087042525596,NA,38.8620963799106,NA,3.74931366758217,NA,NA,NA,NA
"Estimate...16","amaz","all","LU_soil_ecor",NA,"lm",0.265415848527349,0.0124317073071529,0.350445664570553,NA,NA,NA,NA,NA,NA,NA,NA,-2.56761945344799,1.32094107473333,-38.2564447100677,NA,NA,-30.4167443604432,-417.73750099955,NA,-126.851116992588,NA,NA,-70.015321494663,-56.2502636324608,-91.2189095940909,-32.2851708286426,2.64596025958064,42.7726151761329,0.277325155824723,5.27066652859953,0.640115906606085,-4.75515760011954,NA,NA,0.474646988107067,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.789228840528,52.9158935941898,79.0681424559152,48.5536188418041,165.905085615094,102.642233434985,115.376680757109,102.95764322579,73.0751433838535,84.1263316760832,95.3900617179742,107.396229836225,73.9906875012982,NA,NA,94.8605296276843,99.030653915511,NA,141.695463075113,97.6924841677069,88.3600824845068,70.6816387481456,91.1996530186671,NA,76.7054960704504,102.00626192791,NA,85.0572499026421,65.9874996138113,NA,108.258341771247,84.6576800997663,NA,-12.9759452061008,-6.75647075877315,NA,-14.5629606708903,-1.51355281723378,-0.0568457233418337,-13.619542669664,NA,NA,NA,-3.84154025393428,NA,-4.64135997701627,NA,NA,-7.89669533083459,-7.53792193155286,-38.4484785786852,NA,0.190549606155138,NA,31.5093469987676,NA,-3.00800193265407,NA,NA,NA,NA
"Estimate...17","amaz","5yr","LU_soil_ecor_meanclim",NA,"lm",0.286151515845124,0.02048646659035,0.363701478583411,NA,NA,NA,NA,NA,55.618528862601,-73.7595215105537,26.2089315754219,NA,-2.9800083995938,-22.450876428075,NA,NA,-9.32999354982279,NA,NA,-80.4480848913007,NA,NA,-76.3258475954396,-53.4630463374989,-109.535844249024,-31.1886203708916,-2.73235249344544,41.2656194363145,-1.59416774363841,7.00493785727285,NA,-53.6623470589684,NA,NA,-7.89551152169536,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.551147872743,-70.861841919885,13.8410086035474,-17.2428837252493,80.7645537975339,49.5153799049492,42.3908624960295,25.0928895446182,8.82517102692974,12.8252457337309,30.1109095814433,8.58067357733173,15.5283714172604,NA,NA,24.1001478017986,23.2580158668958,NA,53.0070430678689,36.0054144689855,24.889981446849,5.99805771443968,25.0829286248416,NA,0.791848224728039,26.3722211187929,NA,9.43756731599728,8.23788618237923,NA,4.75252787348998,27.1990408213023,NA,1.98834200583538,-12.4882953129755,NA,-1.62171796500412,6.66765272581849,7.70346172508063,-10.061753746906,NA,NA,NA,-0.40243300018973,NA,-9.34678667680861,NA,NA,11.3686394516666,-15.3367984552208,-16.5379185907012,NA,12.7604038673781,NA,23.7876619814416,NA,4.03660873972105,NA,NA,NA,NA
"Estimate...18","amaz","10yr","LU_soil_ecor_meanclim",NA,"lm",0.268957113402257,0.0243627974496408,0.359226254911046,NA,NA,NA,NA,NA,65.9678439058333,-87.6280544678372,37.438622022833,-3.33098468406004,-4.824306570763,-17.4596480320238,NA,NA,26.6841240746163,NA,NA,-126.902021063958,NA,NA,59.8549558256308,-60.3030727324236,-97.1376301149892,-37.4756907768907,-3.03323506542526,40.3203964511466,-1.84455692597283,8.62710692527742,-88.3040936842475,-30.7152083948694,NA,NA,-43.4229190076315,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.939259596201,130.165876814766,106.087353083957,76.5000849970737,151.520853049266,138.181690251939,116.370280181632,120.498866063018,83.3426602270943,104.040611697745,122.696494938659,120.425750435744,104.38942307517,NA,NA,118.833626512333,122.785016802264,NA,153.678330572072,119.428373353078,116.083916335645,92.6577651081538,112.535028389962,NA,92.9978266928996,111.026688719966,NA,99.1776527535287,111.485512287515,NA,92.0217459409759,123.311593779075,NA,-11.1888549523135,-7.99246862227421,NA,-3.4827563984779,4.77110726115477,8.40011268910169,-8.08964528499112,NA,NA,NA,-2.23717765976807,NA,9.50970962476431,NA,NA,9.83749078505919,-24.1463334624895,-19.658788433466,NA,10.607218916476,NA,23.7524571311446,NA,1.58925914461056,NA,NA,NA,NA
"Estimate...19","amaz","15yr","LU_soil_ecor_meanclim",NA,"lm",0.279628194836744,0.0178127543613453,0.344947439896725,NA,NA,NA,NA,NA,81.1990813798041,-105.631132997326,41.9172655142746,-4.03782492497249,-3.16075894664472,-41.892143865163,NA,NA,-44.4152961523748,NA,NA,-53.6938922748432,NA,NA,-279.194469098875,-85.3780578768924,-97.5941886722486,-56.5622478748252,-4.58838902770774,44.0415131845939,-5.54762833170588,5.57944594508862,71.3143801053863,-0.507541416987177,NA,NA,27.2164188659939,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7845276982858,-21.3753006196056,2.79028860648845,-40.9769217756298,49.5412230517346,26.0894265385538,-30.9858863789429,3.63058682121636,-14.6940897186065,-15.7544486639277,2.8624806636907,-1.12527931309634,2.20883268550499,NA,NA,2.54195870458352,-5.76895771294784,NA,39.9395548144199,5.73279793237919,2.28071049890015,-26.0782130163665,-7.2497324550372,NA,-31.1389194820701,-1.51161266010015,NA,-19.1255490592529,-6.37535891400234,NA,-15.3052478443914,NA,NA,-8.06381711627046,-11.5265977489267,NA,-9.2093501125491,-2.00153055375436,1.53688117642788,-15.6904286528296,NA,NA,NA,-9.42721800460478,NA,-13.8877495290052,NA,NA,2.29215006708063,-33.7881383316272,-23.6975636788339,NA,3.8883482359543,NA,25.1663699319372,NA,-2.83047882055801,NA,NA,NA,NA
"Estimate...20","amaz","all","LU_soil_ecor_meanclim",NA,"lm",0.274938338189043,0.0216441960228552,0.3632500122013,NA,NA,NA,NA,NA,73.4686973628543,-91.4546393426236,32.0082498280684,-2.4039404761954,2.91449362992094,-41.608840355356,NA,NA,-11.9066010799969,-450.575041570618,NA,-94.7653451143561,NA,NA,-108.663394773153,-56.1084458075142,-94.0975112982803,-32.0964485918999,2.86964316212005,42.5050233266383,-1.42998212748066,6.44680491272658,1.8912788158474,11.1000990387918,NA,NA,7.37183581275156,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9574797923369,99.4423052383436,85.9258854883499,44.3617654895476,148.579950856629,95.3182445181565,98.2540949325835,92.954549076061,64.4933001061361,75.7559228267246,85.2600731535509,101.246573391703,83.432337530609,NA,NA,90.1784950540304,86.4618728849677,NA,125.305140478762,84.6761635223044,89.6239977800778,61.5106477327322,82.3674288195805,NA,60.623148399935,87.2891771578095,NA,75.1603231830932,78.4563492090046,NA,103.192948191152,87.4084386192209,NA,-11.2789450083329,-10.438730658069,NA,-11.0837727044162,0.242132605097337,-0.133076079482464,-9.79441234626591,NA,NA,NA,-7.1092034312669,NA,-2.31967791518445,NA,NA,-17.2833104907939,-19.4482734506256,-19.852749349895,NA,0.359925378895492,NA,33.4814020016105,NA,-5.21946630419541,NA,NA,NA,NA
