"age","num_fires","biomass","protec","indig","nearest_mature_biomass","lulc_sum_30","distance","cwd","sur_cover","nitro","sand","phh2o","mean_pr","mean_srad","mean_temp","mean_vpd","mean_soil","mean_aet","amazon_quarter_regions","ecoreg_469","ecoreg_473","ecoreg_474","ecoreg_476","ecoreg_480","ecoreg_481","ecoreg_482","ecoreg_496","ecoreg_497","ecoreg_505","ecoreg_507","ecoreg_508","ecoreg_511","ecoreg_518","ecoreg_529","ecoreg_540","ecoreg_567","ecoreg_570","topography_21","topography_24","topography_31","topography_34","topography_41","topography_42","pred","pred_nolag"
8,0,34,1,0,243,0,2327,-227,0.74522114,4773,1022,127,2029.08571428571,1911.57142857143,25.842857,6.77142857142857,3214.42857142857,81.1714285714286,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.4410875564534,94.6203622489989
2,5,53,0,0,231,0,3378,-338,0.26961485,4631,1059,153,2286.48571428571,2277.4,26.1,6.91428571428571,2142.11428571429,91.1428571428571,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.53606775165923,62.1481087217523
1,7,16.5,0,0,236,0,8185,-434,0.14636233,3915,1780,156,1745,2209.11428571429,23.971428,8.88571428571429,3037.74285714286,81.7714285714286,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.06890379380957,33.3083356595964
12,3,109,0,0,237,0,1872,-395,0.29072753,4819,1311,141,2134.91428571429,2135.57142857143,25.314285,10.3428571428571,3028.48571428571,86.1428571428571,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.133510817773,64.5658611871935
3,7,76,0,0,231,0,7097,-570,0.1868759,4948,1258,147,1606.17142857143,2274.08571428571,26.3,8.8,4588.14285714286,87.4857142857143,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5.69628191707475,48.8781177576409
3,2,22,0,0,241,0,2074,-534,0.72724676,4177,1391,149,1935.05714285714,2188.94285714286,27.028572,9.77142857142857,3935.8,91.5142857142857,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.16922386051302,64.3637856433421
6,6,41,0,0,234,0,6125,-279,0.28273895,5649,1201,148,1970.68571428571,2114,24.457144,6.85714285714286,2619.37142857143,82.8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.87931412473024,48.2882287553152
11,5,109.5,0,0,231,0,6564,-524,0.02082739,4872,1379,147,1932.54285714286,2234.28571428571,25.885714,7.51428571428571,3161.45714285714,89.3714285714286,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21.7804605051058,64.2896319476177
8,7,34.5,0,0,232,0,4162,-414,0.178602,5226,1224,141,1729.82857142857,2192.2,26.814285,8.4,3306.34285714286,87.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.0609649343856,61.4850434385712
3,5,29,0,0,237,0,4734,-461,0.30385163,4344,1760,145,1823.6,2183.88571428571,24.314285,9.02857142857143,3197.45714285714,80.8857142857143,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.97225919058068,40.0627813184366
3,4,35.5,0,0,237,0,2428,-376,0.27589157,5492,1346,143,2232.34285714286,2161.37142857143,25.4,10.1714285714286,3382.31428571429,87.5142857142857,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.35125676223559,45.1869992719169
